spot_name,latitude,longitude,day,hotel_name,distance_to_hotel
Spot 25,36.14132337772329,-102.23642668173913,1,Hotel 1,2.8026535585859857
Spot 26,32.541363663067294,-97.41809997673352,1,Hotel 1,6.663933121861756
Spot 74,31.937063383510843,-100.39754301801868,1,Hotel 1,4.056312364766227
Spot 6,32.580935100682176,-77.72320005865868,2,Hotel 2,1.9904917650443594
Spot 31,34.81611194154369,-81.56349499849472,2,Hotel 2,5.681621952248042
Spot 70,41.602606544671374,-85.29530182112582,2,Hotel 2,12.255195995322056
Spot 17,38.19001907504683,-74.66730741242108,3,Hotel 3,3.4019335789968626
Spot 51,34.917581748738556,-86.24146977189235,3,Hotel 3,11.569121183711783
Spot 79,40.705133750756296,-82.73496264111341,3,Hotel 3,10.000273095537635
Spot 8,38.39618149485989,-94.55759222456624,4,Hotel 4,7.129879872240499
Spot 42,36.982713522209735,-97.08463790640583,4,Hotel 4,4.234585810109492
Spot 83,34.04665965788146,-87.53697707133986,4,Hotel 4,13.23696193266515
Spot 14,40.106315996287435,-73.50555416425092,5,Hotel 5,2.7813896314774813
Spot 21,41.049772653317156,-76.45199688511235,5,Hotel 5,4.660816452092065
Spot 71,36.34106088032531,-79.88390141104215,5,Hotel 5,6.31581866610232
Spot 37,38.01727768726404,-114.09447225367332,6,Hotel 6,4.023403829887617
Spot 50,36.728879889308494,-116.09582566546736,6,Hotel 6,4.36924181123897
Spot 87,32.585857861387304,-109.4264260753736,6,Hotel 6,11.185116491092096
Spot 15,35.723097477615084,-83.04855444637263,7,Hotel 7,4.715919424667692
Spot 44,31.824188523022755,-88.92156579406381,7,Hotel 7,11.432044559311068
Spot 78,42.499178936466365,-84.89011002994276,7,Hotel 7,9.083568454043876
Spot 7,39.30543729463487,-66.89218657122984,8,Hotel 8,2.52469311067328
Spot 59,41.09755931063215,-66.48304698131712,8,Hotel 8,1.024957134020845
Spot 76,44.466402133785145,-68.82313216765708,8,Hotel 8,4.502777684340461
Spot 43,30.105031802652007,-124.21400694667152,9,Hotel 9,11.697847450180523
Spot 89,32.573775434660206,-104.13776152491141,9,Hotel 9,18.497268228790343
Spot 98,35.29729798091206,-88.73819151362092,9,Hotel 9,32.30670404426796
Spot 33,41.48703851919624,-97.89051024906479,10,Hotel 10,5.737142639030972
Spot 49,36.851165876449336,-102.75130308050745,10,Hotel 10,4.404381106219762
Spot 80,42.41109400628518,-100.56229136053378,10,Hotel 10,3.29919264085262
Spot 32,37.991866797896485,-71.40960600047183,11,Hotel 11,3.73623184043148
Spot 60,39.25340534071561,-77.2835243312403,11,Hotel 11,8.935114457982394
